Num,Date,Production 
1,23/12/2021,"2,227"
2,24/12/2021,"21,976"
3,25/12/2021,"7,595"
4,26/12/2021,"34,268"
5,27/12/2021,"25,522"
6,28/12/2021,"27,638"
7,29/12/2021,"28,635"
8,30/12/2021,"36,410"
9,31/12/2021,"34,099"
10,1/1/2022,"33,618"
11,2/1/2022,"29,493"
12,3/1/2022,"27,732"
13,4/1/2022,"35,114"
14,5/1/2022,"29,164"
15,6/1/2022,"34,131"
16,7/1/2022,"29,376"
17,8/1/2022,"35,370"
18,9/1/2022,"35,480"
19,10/1/2022,"26,221"
20,11/1/2022,"15,296"
21,12/1/2022,"30,668"
22,13/1/2022,"24,231"
23,14/1/2022,"17,900"
24,15/1/2022,"32,495"
25,16/1/2022,"24,073"
26,17/1/2022,"17,589"
27,18/1/2022,"19,920"
28,19/1/2022,"19,430"
29,20/1/2022,"23,588"
30,21/1/2022,"20,812"
31,22/1/2022,"20,154"
32,23/1/2022,"22,875"
33,24/1/2022,"18,609"
34,25/1/2022,"40,287"
35,26/1/2022,"45,660"
36,27/1/2022,"39,812"
37,28/1/2022,"50,984"
38,29/1/2022,"39,918"
39,30/1/2022,"32,108"
40,31/1/2022,"31,859"
41,1/2/2022,"33,534"
42,2/2/2022,"48,298"
43,3/2/2022,"37,183"
44,4/2/2022,"55,426"
45,5/2/2022,"28,531"
46,6/2/2022,"33,913"
47,7/2/2022,"35,459"
48,8/2/2022,"41,913"
49,9/2/2022,"27,457"
50,10/2/2022,"36,344"
51,11/2/2022,"34,432"
52,12/2/2022,"26,968"
53,13/2/2022,"34,477"
54,14/2/2022,"28,812"
55,15/2/2022,"27,198"
56,16/2/2022,"28,148"
57,17/2/2022,"27,156"
58,18/2/2022,"29,989"
59,19/2/2022,"38,592"
60,20/2/2022,"32,456"
61,21/2/2022,"26,000"
62,22/2/2022,"24,795"
63,23/2/2022,"17,365"
64,24/2/2022,"16,660"
65,25/2/2022,"27,632"
66,26/2/2022,"23,655"
67,27/2/2022,"24,803"
68,28/2/2022,"31,819"
69,1/3/2022,"42,096"
70,2/3/2022,"32,750"
71,3/3/2022,"15,880"
72,4/3/2022,"15,721"
73,5/3/2022,"33,936"
74,6/3/2022,"38,256"
75,7/3/2022,"31,100"
76,8/3/2022,"26,725"
77,9/3/2022,"40,078"
78,10/3/2022,"37,760"
79,11/3/2022,"42,495"
80,12/3/2022,"32,371"
81,13/3/2022,"37,347"
82,14/3/2022,"37,763"
83,15/3/2022,"39,090"
84,16/3/2022,"36,378"
85,17/3/2022,"30,515"
86,18/3/2022,"35,922"
87,19/3/2022,"35,714"
88,20/3/2022,"32,113"
89,21/3/2022,"24,789"
90,22/3/2022,"36,095"
91,23/3/2022,"36,945"
92,24/3/2022,"34,592"
93,25/3/2022,"36,914"
94,26/3/2022,"24,501"
95,27/3/2022,"39,419"
96,28/3/2022,"36,910"
97,29/3/2022,"30,742"
98,30/3/2022,"36,987"
99,31/3/2022,"20,113"
100,1/4/2022,"47,468"
101,2/4/2022,"33,719"
102,3/4/2022,"30,220"
103,4/4/2022,"37,321"
104,5/4/2022,"40,184"
105,6/4/2022,"33,025"
106,7/4/2022,"40,821"
107,8/4/2022,"34,689"
108,9/4/2022,"33,243"
109,10/4/2022,"36,917"
110,11/4/2022,"33,766"
111,12/4/2022,"40,319"
112,13/4/2022,"34,677"
113,14/4/2022,"41,858"
114,15/4/2022,"36,342"
115,16/4/2022,"37,550"
116,17/4/2022,"32,062"
117,18/4/2022,"30,860"
118,19/4/2022,"31,012"
119,20/4/2022,"34,181"
120,21/4/2022,"35,331"
121,22/4/2022,"34,700"
122,23/4/2022,"37,342"
123,24/4/2022,"31,654"
124,25/4/2022,"30,558"
125,26/4/2022,"33,254"
126,27/4/2022,"35,482"
127,28/4/2022,"35,707"
128,29/4/2022,"33,056"
129,30/4/2022,"40,983"
130,1/5/2022,"31,536"
131,2/5/2022,"32,516"
132,3/5/2022,"30,505"
133,4/5/2022,"31,121"
134,5/5/2022,"34,701"
135,6/5/2022,"29,081"
136,7/5/2022,"37,087"
137,8/5/2022,"30,419"
138,9/5/2022,"31,353"
139,10/5/2022,"29,881"
140,11/5/2022,"31,908"
141,12/5/2022,"35,889"
142,13/5/2022,"40,095"
143,14/5/2022,"35,181"
144,15/5/2022,"32,988"
145,16/5/2022,"32,754"
146,17/5/2022,"37,851"
147,18/5/2022,"36,030"
148,19/5/2022,"32,325"
149,20/5/2022,"31,764"
150,21/5/2022,"  30,883 "
151,22/5/2022,"  25,723 "
152,23/5/2022,"  30,481 "
153,24/5/2022,"  28,744 "
154,25/5/2022,"  33,556 "
155,26/5/2022,"30,236"
156,27/5/2022,"  34,256 "
157,28/5/2022,"30,759"
158,29/5/2022,"  30,397 "
159,30/5/2022,"  34,468 "
